timestamp,city_name,series_ticker,event_ticker,market_ticker,title,side,entry_price,model_probability,best_edge,recommended_position_dollars,execution_status,simulated_action
2026-04-21 17:28:48,New York City,KXHIGHNY,KXHIGHNY-26APR22,KXHIGHNY-26APR22-T57,"Will the **high temp in NYC** be <57Â° on Apr 22, 2026?",YES,0.64,0.7783055456428805,0.13830554564288045,5,EXECUTE,BUY 5 contracts of YES at 0.6400
2026-04-21 17:29:23,New York City,KXHIGHNY,KXHIGHNY-26APR22,KXHIGHNY-26APR22-T57,"Will the **high temp in NYC** be <57Â° on Apr 22, 2026?",YES,0.64,0.7783055456428805,0.13830554564288045,5,EXECUTE,BUY 5 contracts of YES at 0.6400
2026-04-23 15:33:12,New York City,KXHIGHNY,KXHIGHNY-26APR24,KXHIGHNY-26APR24-B66.5,"Will the **high temp in NYC** be 66-67° on Apr 24, 2026?",NO,0.59,0.06901577311483409,0.34098422688516594,20,EXECUTE,BUY 20 contracts of NO at 0.5900
2026-04-23 15:33:13,Miami,KXHIGHMIA,KXHIGHMIA-26APR24,KXHIGHMIA-26APR24-B82.5,"Will the **high temp in Miami** be 82-83° on Apr 24, 2026?",NO,0.54,0.15710496395161408,0.30289503604838586,20,EXECUTE,BUY 20 contracts of NO at 0.5400
2026-04-23 15:33:15,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR24,KXHIGHLAX-26APR24-B70.5,"Will the **high temp in LA** be 70-71° on Apr 24, 2026?",NO,0.61,0.09307800042127949,0.29692199957872056,20,EXECUTE,BUY 20 contracts of NO at 0.6100
2026-04-23 21:27:39,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR24,KXHIGHLAX-26APR24-B72.5,"Will the **high temp in LA** be 72-73° on Apr 24, 2026?",NO,0.47,0.19669016942960937,0.33330983057039065,20,EXECUTE,BUY 20 contracts of NO at 0.4700
2026-04-24 11:26:33,New York City,KXHIGHNY,KXHIGHNY-26APR25,KXHIGHNY-26APR25-T51,"Will the **high temp in NYC** be <51° on Apr 25, 2026?",YES,0.42,0.6543556225128248,0.23435562251282477,10,EXECUTE,BUY 10 contracts of YES at 0.4200
2026-04-24 14:14:27,Miami,KXHIGHMIA,KXHIGHMIA-26APR25,KXHIGHMIA-26APR25-B85.5,"Will the **high temp in Miami** be 85-86° on Apr 25, 2026?",NO,0.54,0.035770445151991646,0.4242295548480083,20,EXECUTE,BUY 20 contracts of NO at 0.5400
2026-04-24 20:46:48,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR25,KXHIGHLAX-26APR25-B62.5,"Will the **high temp in LA** be 62-63° on Apr 25, 2026?",NO,0.7,0.13466493437117039,0.1653350656288297,2,EXECUTE,BUY 2 contracts of NO at 0.7000
2026-04-24 23:32:27,New York City,KXHIGHNY,KXHIGHNY-26APR25,KXHIGHNY-26APR25-B51.5,"Will the **high temp in NYC** be 51-52° on Apr 25, 2026?",NO,0.54,0.29402093402796703,0.16597906597203294,10,EXECUTE,BUY 10 contracts of NO at 0.5400
2026-04-25 15:25:00,New York City,KXHIGHNY,KXHIGHNY-26APR26,KXHIGHNY-26APR26-B51.5,"Will the **high temp in NYC** be 51-52° on Apr 26, 2026?",YES,0.07,0.33803490963808647,0.26803490963808646,10,EXECUTE,BUY 10 contracts of YES at 0.0700
2026-04-25 15:25:04,Miami,KXHIGHMIA,KXHIGHMIA-26APR26,KXHIGHMIA-26APR26-T87,"Will the **high temp in Miami** be >87° on Apr 26, 2026?",NO,0.76,0.007399595572231893,0.23260040442776808,18,EXECUTE,BUY 18 contracts of NO at 0.7600
2026-04-25 15:35:37,Miami,KXHIGHMIA,KXHIGHMIA-26APR26,KXHIGHMIA-26APR26-B86.5,"Will the **high temp in Miami** be 86-87° on Apr 26, 2026?",NO,0.49,0.07567329668145138,0.4343267033185486,20,EXECUTE,BUY 20 contracts of NO at 0.4900
2026-04-25 16:40:22,New York City,KXHIGHNY,KXHIGHNY-26APR26,KXHIGHNY-26APR26-B57.5,"Will the **high temp in NYC** be 57-58° on Apr 26, 2026?",NO,0.7,0.02271780942616267,0.2772821905738374,20,EXECUTE,BUY 20 contracts of NO at 0.7000
2026-04-26 18:24:31,New York City,KXHIGHNY,KXHIGHNY-26APR27,KXHIGHNY-26APR27-B66.5,"Will the **high temp in NYC** be 66-67° on Apr 27, 2026?",NO,0.57,0.20742774470926453,0.22257225529073554,10,EXECUTE,BUY 10 contracts of NO at 0.5700
2026-04-26 18:24:38,Miami,KXHIGHMIA,KXHIGHMIA-26APR27,KXHIGHMIA-26APR27-T88,"Will the **high temp in Miami** be >88° on Apr 27, 2026?",NO,0.59,0.0013592242630066198,0.4086407757369934,18,EXECUTE,BUY 18 contracts of NO at 0.5900
2026-04-26 22:22:50,New York City,KXHIGHNY,KXHIGHNY-26APR27,KXHIGHNY-26APR27-B68.5,"Will the **high temp in NYC** be 68-69° on Apr 27, 2026?",NO,0.61,0.04200244996479636,0.3479975500352036,20,EXECUTE,BUY 20 contracts of NO at 0.6100
2026-04-26 22:22:53,Miami,KXHIGHMIA,KXHIGHMIA-26APR27,KXHIGHMIA-26APR27-B87.5,"Will the **high temp in Miami** be 87-88° on Apr 27, 2026?",NO,0.44,0.06585011491068495,0.49414988508931507,20,EXECUTE,BUY 20 contracts of NO at 0.4400
2026-04-26 22:22:59,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR27,KXHIGHLAX-26APR27-B66.5,"Will the **high temp in LA** be 66-67° on Apr 27, 2026?",NO,0.43,0.40014938505949543,0.16985061494050452,5,EXECUTE,BUY 5 contracts of NO at 0.4300
2026-04-27 13:28:26,New York City,KXHIGHNY,KXHIGHNY-26APR28,KXHIGHNY-26APR28-T66,"Will the **high temp in NYC** be >66° on Apr 28, 2026?",NO,0.64,0.026791910298996295,0.3332080897010037,20,EXECUTE,BUY 20 contracts of NO at 0.6400
2026-04-27 20:04:57,Miami,KXHIGHMIA,KXHIGHMIA-26APR28,KXHIGHMIA-26APR28-B86.5,"Will the **high temp in Miami** be 86-87° on Apr 28, 2026?",NO,0.41,0.06279168655441333,0.5272083134455867,20,EXECUTE,BUY 20 contracts of NO at 0.4100
2026-04-27 20:04:58,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR28,KXHIGHLAX-26APR28-T71,"Will the **high temp in LA** be >71° on Apr 28, 2026?",YES,0.04,0.6736402501071789,0.6336402501071788,18,EXECUTE,BUY 18 contracts of YES at 0.0400
2026-04-27 22:03:31,New York City,KXHIGHNY,KXHIGHNY-26APR28,KXHIGHNY-26APR28-B65.5,"Will the **high temp in NYC** be 65-66° on Apr 28, 2026?",NO,0.48,0.12022575738014477,0.3997742426198553,20,EXECUTE,BUY 20 contracts of NO at 0.4800
2026-04-28 12:44:01,New York City,KXHIGHNY,KXHIGHNY-26APR29,KXHIGHNY-26APR29-B60.5,"Will the **high temp in NYC** be 60-61° on Apr 29, 2026?",NO,0.65,0.013831042650969093,0.33616895734903085,5,EXECUTE,BUY 5 contracts of NO at 0.6500
2026-04-28 15:39:20,Miami,KXHIGHMIA,KXHIGHMIA-26APR29,KXHIGHMIA-26APR29-B87.5,"Will the **high temp in Miami** be 87-88° on Apr 29, 2026?",NO,0.43,0.035770445151991646,0.5342295548480083,20,EXECUTE,BUY 20 contracts of NO at 0.4300
2026-04-28 19:43:46,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR29,KXHIGHLAX-26APR29-T73,"Will the **high temp in LA** be >73° on Apr 29, 2026?",YES,0.04,0.6608648931798421,0.6208648931798421,22,EXECUTE,BUY 22 contracts of YES at 0.0400
2026-04-29 02:55:37,New York City,KXHIGHNY,KXHIGHNY-26APR29,KXHIGHNY-26APR29-B62.5,"Will the **high temp in NYC** be 62-63° on Apr 29, 2026?",NO,0.71,0.04905783364338606,0.24094216635661403,20,EXECUTE,BUY 20 contracts of NO at 0.7100
2026-04-29 02:55:58,New York City,KXHIGHNY,KXHIGHNY-26APR29,KXHIGHNY-26APR29-B58.5,"Will the **high temp in NYC** be 58-59° on Apr 29, 2026?",YES,0.17,0.4006146050743689,0.2306146050743689,5,EXECUTE,BUY 5 contracts of YES at 0.1700
2026-04-29 12:33:12,New York City,KXHIGHNY,KXHIGHNY-26APR30,KXHIGHNY-26APR30-T61,"Will the **high temp in NYC** be <61° on Apr 30, 2026?",YES,0.11,0.6477663952714252,0.5377663952714252,5,EXECUTE,BUY 5 contracts of YES at 0.1100
2026-04-29 13:20:09,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR30,KXHIGHLAX-26APR30-T73,"Will the **high temp in LA** be >73° on Apr 30, 2026?",YES,0.05,0.59949462513454,0.54949462513454,22,EXECUTE,BUY 22 contracts of YES at 0.0500
2026-04-29 14:29:51,Miami,KXHIGHMIA,KXHIGHMIA-26APR30,KXHIGHMIA-26APR30-B89.5,"Will the **high temp in Miami** be 89-90° on Apr 30, 2026?",NO,0.54,0.021409072541183013,0.438590927458817,20,EXECUTE,BUY 20 contracts of NO at 0.5400
2026-04-30 11:56:48,Miami,KXHIGHMIA,KXHIGHMIA-26MAY01,KXHIGHMIA-26MAY01-B84.5,"Will the **high temp in Miami** be 84-85° on May 1, 2026?",YES,0.03,0.3727860569994402,0.3427860569994402,10,EXECUTE,BUY 10 contracts of YES at 0.0300
2026-04-30 11:56:50,Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAY01,KXHIGHLAX-26MAY01-T75,"Will the **high temp in LA** be >75° on May 1, 2026?",YES,0.05,0.7099769728181751,0.659976972818175,20,EXECUTE,BUY 20 contracts of YES at 0.0500
2026-04-30 18:10:58,New York City,KXHIGHNY,KXHIGHNY-26MAY01,KXHIGHNY-26MAY01-T62,"Will the **high temp in NYC** be <62° on May 1, 2026?",YES,0.04,0.3330167776542077,0.2930167776542077,10,EXECUTE,BUY 10 contracts of YES at 0.0400
